Image,Class,Confidence,Class_ID
IMG_1506.jpg,Stop,0.9940920472145081,5
IMG_1517.jpg,No Entry (One Way),0.9886198043823242,1
IMG_1517.jpg,No Entry (One Way),0.8489493727684021,1
IMG_1520.jpg,No Entry (One Way),0.9397634863853455,1
IMG_1522.jpg,No Entry (One Way),0.9979817867279053,1
IMG_1522.jpg,Stop,0.9853362441062927,5
IMG_1523.jpg,Stop,0.9873661994934082,5
IMG_1523.jpg,No Entry (One Way),0.644080638885498,1
IMG_1527.jpg,Stop,0.9955061674118042,5
IMG_1527.jpg,No Entry (One Way),0.9410573840141296,1
IMG_1532.jpg,Pedestrian Crossing,0.9602177143096924,3
IMG_1534.jpg,Pedestrian Crossing,0.973879873752594,3
IMG_1550.jpg,Roundabout Ahead,0.8633612394332886,4
IMG_1567.jpg,No Entry (One Way),0.9841898083686829,1
IMG_1573.jpg,No Entry (One Way),0.9776449203491211,1
IMG_1580.jpg,No Entry (One Way),0.9832183718681335,1
IMG_1596.jpg,Roundabout Ahead,0.7825100421905518,4
IMG_1609.jpg,Pedestrian Crossing,0.9895837903022766,3
IMG_1614.jpg,Pedestrian Crossing,0.9593621492385864,3
IMG_1648.jpg,Stop,0.9942662119865417,5
IMG_20251123_143037.jpg,Blind-Spot Mirror (Convex),0.9802331924438477,0
IMG_20251123_144205.jpg,Stop,0.9732378125190735,5
IMG_20251123_145518.jpg,Roundabout Ahead,0.967578649520874,4
IMG_20251123_145915.jpg,Blind-Spot Mirror (Convex),0.9781057834625244,0
IMG_20251123_145915.jpg,No Entry (One Way),0.4450733959674835,1
IMG_20251123_150542.jpg,Pedestrian Crossing,0.9610397219657898,3
IMG_20251123_150542.jpg,Roundabout Ahead,0.36949291825294495,4
IMG_20251123_151128.jpg,Pedestrian Crossing,0.9709571003913879,3
IMG_20251123_151438.jpg,No Entry (One Way),0.991193950176239,1
IMG_20251123_151438.jpg,No Entry (One Way),0.38580483198165894,1
IMG_20251123_151450.jpg,No Entry (One Way),0.9653075933456421,1
IMG_20251123_151709.jpg,Stop,0.9843475818634033,5
IMG_20251123_152108.jpg,Pedestrian Crossing,0.9926740527153015,3
IMG_20251123_154204.jpg,No Through Road (T-Sign),0.9981396198272705,2
IMG_20251123_164424.jpg,No Entry (One Way),0.9883154630661011,1
IMG_20251123_165832.jpg,Blind-Spot Mirror (Convex),0.9618349671363831,0
IMG_20251123_170230.jpg,No Through Road (T-Sign),0.9865286350250244,2
IMG_20251125_113631.jpg,Stop,0.996478259563446,5
IMG_20251125_114024.jpg,No Entry (One Way),0.8573582768440247,1
IMG_20251125_114024.jpg,Pedestrian Crossing,0.45158132910728455,3
IMG_20251125_114024.jpg,Pedestrian Crossing,0.4319591224193573,3
IMG_20251125_114024.jpg,No Through Road (T-Sign),0.41501227021217346,2
IMG_20251125_114024.jpg,No Through Road (T-Sign),0.38229426741600037,2
IMG_20251125_120307.jpg,Blind-Spot Mirror (Convex),0.9911822080612183,0
IMG_20251125_120930.jpg,No Through Road (T-Sign),0.9929613471031189,2
IMG_20251125_121035.jpg,No Entry (One Way),0.9585133790969849,1
IMG_20251125_121142.jpg,Blind-Spot Mirror (Convex),0.9744584560394287,0
